                      OLS Regression Results                      
Dep. Variable:   ,price           ,  R-squared:         ,   0.865 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.865 
Method:          ,Least Squares   ,  F-statistic:       ,   1682. 
Date:            ,Mon, 20 May 2019,  Prob (F-statistic):,  0.00   
Time:            ,20:47:55        ,  Log-Likelihood:    , -9012.6 
No. Observations:, 21596          ,  AIC:               ,1.819e+04
Df Residuals:    , 21513          ,  BIC:               ,1.885e+04
Df Model:        ,    82          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
                   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const              ,    0.7142,    0.027,   26.546, 0.000,    0.661,    0.767
grade_10           ,    0.9885,    0.029,   34.026, 0.000,    0.932,    1.045
grade_9            ,    0.7418,    0.027,   27.621, 0.000,    0.689,    0.794
bathroom_(2.5, 5.0],    0.0476,    0.008,    5.982, 0.000,    0.032,    0.063
grade_8            ,    0.4505,    0.025,   17.839, 0.000,    0.401,    0.500
sqft_living        ,    0.4058,    0.004,   90.235, 0.000,    0.397,    0.415
grade_11           ,    1.2891,    0.034,   38.383, 0.000,    1.223,    1.355
zipcode_98023      ,   -1.0372,    0.018,  -58.323, 0.000,   -1.072,   -1.002
zipcode_98004      ,    1.1525,    0.022,   52.532, 0.000,    1.109,    1.195
zipcode_98042      ,   -0.8517,    0.017,  -49.935, 0.000,   -0.885,   -0.818
grade_12           ,    1.6466,    0.049,   33.601, 0.000,    1.551,    1.743
zipcode_98001      ,   -0.9827,    0.020,  -48.040, 0.000,   -1.023,   -0.943
zipcode_98092      ,   -0.9129,    0.021,  -44.122, 0.000,   -0.953,   -0.872
zipcode_98038      ,   -0.6525,    0.017,  -39.257, 0.000,   -0.685,   -0.620
zipcode_98003      ,   -0.9361,    0.023,  -40.754, 0.000,   -0.981,   -0.891
zipcode_98058      ,   -0.6716,    0.018,  -36.427, 0.000,   -0.708,   -0.635
zipcode_98030      ,   -0.8997,    0.024,  -37.599, 0.000,   -0.947,   -0.853
zipcode_98168      ,   -0.8839,    0.024,  -37.151, 0.000,   -0.931,   -0.837
zipcode_98002      ,   -1.0697,    0.027,  -39.422, 0.000,   -1.123,   -1.017
zipcode_98031      ,   -0.8503,    0.023,  -36.569, 0.000,   -0.896,   -0.805
zipcode_98198      ,   -0.8233,    0.023,  -35.729, 0.000,   -0.868,   -0.778
